OM_CATEGORY_LABEL,FSQ_BEST_LABEL,FSQ_BEST_ID,FSQ_BEST_PRIMARY,FSQ_BEST_SECONDARY,BEST_SCORE,FSQ_ALT1_LABEL,ALT1_ID,ALT1_SCORE,FSQ_ALT2_LABEL,ALT2_ID,ALT2_SCORE,NEEDS_REVIEW
theatrical_productions,Retail > Auction House,17004,Retail , Auction House,58.4,Health and Medicine > Physician > Geriatric Doctor,15036,52.1,Travel and Transportation > Transport Hub > Rental Car Location,19048,52.1,TRUE
aviation_museum,Arts and Entertainment > Museum,10027,Arts and Entertainment , Museum,77.4,Arts and Entertainment > Museum > Art Museum,10028,69.1,Arts and Entertainment > Museum > History Museum,10030,66.3,TRUE
outdoor_movies,Sports and Recreation > Gym and Studio > Outdoor Gym,18026,Sports and Recreation , Gym and Studio ,74.3,Business and Professional Services > Outdoor Event Space,11131,69.9,"Business and Professional Services > Print, TV, Radio and Outdoor Advertising Service",11189,68.6,TRUE
aquarium_services,Arts and Entertainment > Aquarium,10002,Arts and Entertainment , Aquarium,78.4,Business and Professional Services > Technology Business > IT Service,11108,68.4,Business and Professional Services > Laundry Service,11069,67.7,TRUE
music_production,Retail > Music Store,17098,Retail , Music Store,62.1,Community and Government > Education,12009,57.9,Arts and Entertainment > Performing Arts Venue > Music Venue,10039,55.8,TRUE
magician,Health and Medicine > Physician,15027,Health and Medicine , Physician,56.8,Health and Medicine > Physician > Pediatrician,15045,55.6,Dining and Drinking > Restaurant > Greek Restaurant > Magirio,13183,54.3,TRUE
theaters_and_performance_venues,Arts and Entertainment > Performing Arts Venue > Theater,10043,Arts and Entertainment , Performing Arts Venue ,62.9,Arts and Entertainment > Performing Arts Venue > Indie Theater,10038,60.0,Arts and Entertainment > Performing Arts Venue,10035,59.7,TRUE
art_tours,Arts and Entertainment > Museum > Art Museum,10028,Arts and Entertainment , Museum ,61.2,Business and Professional Services > Art Studio,11005,61.2,Retail > Board Store,17017,59.8,TRUE
petting_zoo,Arts and Entertainment > Zoo,10056,Arts and Entertainment , Zoo,73.7,Retail > Betting Shop,17015,65.3,Business and Professional Services > Office > Meeting Room,11129,56.5,TRUE
cinema,Event > Line,14008,Event , Line,56.0,Health and Medicine,15000,51.2,Health and Medicine > Maternity Clinic,15015,49.7,TRUE
movie_television_studio,Business and Professional Services > Art Studio,11005,Business and Professional Services , Art Studio,63.0,Business and Professional Services > Design Studio,11030,61.9,Business and Professional Services > Film Studio,11041,60.5,TRUE
