OM_CATEGORY_LABEL,OM_SIMPLIFIED_CATEGORY,OM_UPDATED_CATEGORY,FSQ_CATEGORY_ID,FSQ_CATEGORY_LABEL,FSQ_CATEGORY_PRIMARY,FSQ_CATEGORY_SECONDARY,MATCH_SCORE,MATCHED_TEXT,ALTERNATES
haunted_house,Arts & Entertainment,Arts & Entertainment,10042,Arts and Entertainment > Performing Arts Venue > Opera House,Arts and Entertainment , Performing Arts Venue ,85.5,arts and entertainment performing arts venue opera house,Arts and Entertainment > Performing Arts Venue > Opera House (ID 10042) [85.5]; Business and Professional Services > Health and Beauty Service > Bath House (ID 11063) [85.5]; Community and Government > Education > College and University > Fraternity House (ID 12043) [85.5]; Community and Government > Education > College and University > Sorority House (ID 12046) [85.5]; Community and Government > Organization > Club House (ID 12084) [85.5]
clown,Arts & Entertainment,Arts & Entertainment,10037,Arts and Entertainment > Performing Arts Venue > Concert Hall,Arts and Entertainment , Performing Arts Venue ,67.5,concert hall,Arts and Entertainment > Performing Arts Venue > Concert Hall (ID 10037) [67.5]; Business and Professional Services > Construction (ID 11028) [67.5]; Business and Professional Services > Convention Center (ID 11029) [67.5]; Business and Professional Services > Health and Beauty Service > Hair Salon (ID 11064) [67.5]; Business and Professional Services > Health and Beauty Service > Nail Salon (ID 11071) [67.5]
agricultural_cooperatives,Arts & Entertainment,Arts & Entertainment,12005,Community and Government > Cultural Center,Community and Government , Cultural Center,72.0,cultural center,Community and Government > Cultural Center (ID 12005) [72.0]; Travel and Transportation > Pier (ID 19021) [67.5]; Dining and Drinking > Restaurant > Greek Restaurant > Magirio (ID 13183) [65.45454545454547]; Business and Professional Services > Home Improvement Service > Roofer (ID 11098) [60.00000000000001]; Dining and Drinking > Restaurant > Italian Restaurant > Agriturismo (ID 13238) [60.00000000000001]
studio_taping,Arts & Entertainment,Arts & Entertainment,11005,Business and Professional Services > Art Studio,Business and Professional Services , Art Studio,85.5,business and professional services art studio,Business and Professional Services > Art Studio (ID 11005) [85.5]; Business and Professional Services > Design Studio (ID 11030) [85.5]; Business and Professional Services > Film Studio (ID 11041) [85.5]; Business and Professional Services > Photography Service > Photography Studio (ID 11140) [85.5]; Business and Professional Services > Recording Studio (ID 11152) [85.5]
virtual_reality_center,Arts & Entertainment,Arts & Entertainment,10005,Arts and Entertainment > Bingo Center,Arts and Entertainment , Bingo Center,85.5,arts and entertainment bingo center,Arts and Entertainment > Bingo Center (ID 10005) [85.5]; Arts and Entertainment > Laser Tag Center (ID 10022) [85.5]; Arts and Entertainment > Party Center (ID 10034) [85.5]; Business and Professional Services > Business Center (ID 11021) [85.5]; Business and Professional Services > Convention Center (ID 11029) [85.5]
agricultural_production,Arts & Entertainment,Arts & Entertainment,12009,Community and Government > Education,Community and Government , Education,78.75,education,Community and Government > Education (ID 12009) [78.75]; Landmarks and Outdoors > States and Municipalities > Town (ID 16067) [67.5]; Travel and Transportation > Road (ID 19060) [67.5]; Dining and Drinking > Restaurant > Greek Restaurant > Magirio (ID 13183) [65.45454545454547]; Community and Government > Education > Adult Education (ID 12010) [64.28571428571429]
topic_concert_venue,Arts & Entertainment,Arts & Entertainment,10035,Arts and Entertainment > Performing Arts Venue,Arts and Entertainment , Performing Arts Venue,85.5,arts and entertainment performing arts venue,Arts and Entertainment > Performing Arts Venue (ID 10035) [85.5]; Arts and Entertainment > Performing Arts Venue > Amphitheater (ID 10036) [85.5]; Arts and Entertainment > Performing Arts Venue > Concert Hall (ID 10037) [85.5]; Arts and Entertainment > Performing Arts Venue > Indie Theater (ID 10038) [85.5]; Arts and Entertainment > Performing Arts Venue > Music Venue (ID 10039) [85.5]
musical_band_orchestras_and_symphonies,Arts & Entertainment,Arts & Entertainment,10000,Arts and Entertainment,Arts and Entertainment,,85.5,arts and entertainment,Arts and Entertainment (ID 10000) [85.5]; Arts and Entertainment > Performing Arts Venue > Amphitheater (ID 10036) [85.5]; Arts and Entertainment > Performing Arts Venue > Concert Hall (ID 10037) [85.5]; Arts and Entertainment > Performing Arts Venue > Indie Theater (ID 10038) [85.5]; Arts and Entertainment > Performing Arts Venue > Music Venue > Jazz and Blues Venue (ID 10040) [85.5]
opera_and_ballet,Arts & Entertainment,Arts & Entertainment,10001,Arts and Entertainment > Amusement Park,Arts and Entertainment , Amusement Park,85.5,arts and entertainment amusement park,Arts and Entertainment > Amusement Park (ID 10001) [85.5]; Arts and Entertainment > Aquarium (ID 10002) [85.5]; Arts and Entertainment > Arcade (ID 10003) [85.5]; Arts and Entertainment > Art Gallery (ID 10004) [85.5]; Arts and Entertainment > Bingo Center (ID 10005) [85.5]
audio_visual_production_and_design,Arts & Entertainment,Arts & Entertainment,10000,Arts and Entertainment,Arts and Entertainment,,85.5,arts and entertainment,Arts and Entertainment (ID 10000) [85.5]; Arts and Entertainment > Movie Theater > Drive-in Theater (ID 10025) [85.5]; Arts and Entertainment > Movie Theater > Indie Movie Theater (ID 10026) [85.5]; Arts and Entertainment > Performing Arts Venue > Amphitheater (ID 10036) [85.5]; Arts and Entertainment > Performing Arts Venue > Concert Hall (ID 10037) [85.5]
