OM_Category_Label,OM_Simplified_Category,OM_Updated_Category,FSQ_Category_Primary,FSQ_Category_ID,FSQ_Category_Label,Match_Confidence_Score
decorative_arts_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum,0.950
music_production,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10039,Arts and Entertainment > Performing Arts Venue > Music Venue,0.507
magician,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10003,Arts and Entertainment > Arcade,0.171
theaters_and_performance_venues,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10043,Arts and Entertainment > Performing Arts Venue > Theater,0.950
art_tours,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10028,Arts and Entertainment > Museum > Art Museum,0.553
petting_zoo,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10056,Arts and Entertainment > Zoo,0.950
cinema,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10008,Arts and Entertainment > Casino,0.200
movie_television_studio,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10024,Arts and Entertainment > Movie Theater,0.400
housing_cooperative,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10005,Arts and Entertainment > Bingo Center,0.181
costume_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum,0.950
dance_school,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10013,Arts and Entertainment > Dance Hall,0.591
science_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10031,Arts and Entertainment > Museum > Science Museum,1.000
animation_studio,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10066,Arts and Entertainment > Stadium > Tennis Stadium,0.187
childrens_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum,0.950
music_venue,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10039,Arts and Entertainment > Performing Arts Venue > Music Venue,1.000
art_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10028,Arts and Entertainment > Museum > Art Museum,1.000
arcade,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10003,Arts and Entertainment > Arcade,1.000
circus_school,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10009,Arts and Entertainment > Circus,0.950
karaoke_rental,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10021,Arts and Entertainment > Karaoke Box,0.556
military_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum,0.950
botanical_garden,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10047,Arts and Entertainment > Public Art,0.185
fair,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10017,Arts and Entertainment > Fair,1.000
drama_school,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10050,Arts and Entertainment > Samba School,0.633
bingo_hall,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10045,Arts and Entertainment > Pool Hall,0.553
modern_art_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum,0.950
casino,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10008,Arts and Entertainment > Casino,1.000
grain_production,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10058,Arts and Entertainment > Amusement Park > Attraction,0.215
museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum,1.000
civilization_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum,0.950
dinner_theater,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10043,Arts and Entertainment > Performing Arts Venue > Theater,0.950
commercial_vehicle_dealer,Automotive,Automotive,Business and Professional Services,11147,Business and Professional Services > Real Estate Service > Commercial Real Estate Developer,0.431
emissions_inspection,Automotive,Automotive,Business and Professional Services,11088,Business and Professional Services > Home Improvement Service > Home Inspection,0.574
b2b_forklift_dealers,Automotive,Business-to-Business,Business and Professional Services,11179,Business and Professional Services > Wholesaler,0.187
foundation_repair,Automotive,Automotive,Business and Professional Services,11157,Business and Professional Services > Repair Service,0.455
coin_dealers,Automotive,Automotive,Business and Professional Services,11029,Business and Professional Services > Convention Center,0.221
shoe_repair,Automotive,Automotive,Business and Professional Services,11164,Business and Professional Services > Shoe Repair Service,0.950
