OM_Category_Label,OM_Simplified_Category,OM_Updated_Category,FSQ_Category_Primary,FSQ_Category_ID,FSQ_Category_Label,Match_Confidence_Score
cleaning_services,Home & Garden Services,Home & Garden Services,Business and Professional Services,11097,Business and Professional Services > Home Improvement Service > Professional Cleaning Service,0.478
pressure_washing,Home & Garden Services,Home & Garden Services,Business and Professional Services,11103,Business and Professional Services > Human Resources Agency,0.189
indoor_landscaping,Home & Garden Services,Home & Garden Services,Business and Professional Services,11092,Business and Professional Services > Home Improvement Service > Landscaper and Gardener,0.195
chimney_service,Home & Garden Services,Home & Garden Services,Business and Professional Services,11089,Business and Professional Services > Home Improvement Service > Home Service,0.626
handyman,Home & Garden Services,Home & Garden Services,Business and Professional Services,11068,Business and Professional Services > Laundromat,0.222
solar_panel_cleaning,Home & Garden Services,Home & Garden Services,Business and Professional Services,11097,Business and Professional Services > Home Improvement Service > Professional Cleaning Service,0.412
movers,Home & Garden Services,Home & Garden Services,Business and Professional Services,11093,Business and Professional Services > Home Improvement Service > Mover,0.950
patio_covers,Home & Garden Services,Home & Garden Services,Business and Professional Services,11081,Business and Professional Services > Home Improvement Service > Deck and Patio Contractor,0.395
chimney_sweep,Home & Garden Services,Home & Garden Services,Business and Professional Services,11080,Business and Professional Services > Home Improvement Service > Chimney Sweep,1.000
dry_cleaning,Home & Garden Services,Home & Garden Services,Business and Professional Services,11066,Business and Professional Services > Health and Beauty Service > Dry Cleaner,0.613
tree_services,Home & Garden Services,Home & Garden Services,Business and Professional Services,11101,Business and Professional Services > Home Improvement Service > Tree Service,0.950
snow_removal_service,Home & Garden Services,Home & Garden Services,Business and Professional Services,11067,Business and Professional Services > Health and Beauty Service > Hair Removal Service,0.720
landscaping,Home & Garden Services,Home & Garden Services,Business and Professional Services,11092,Business and Professional Services > Home Improvement Service > Landscaper and Gardener,0.235
pool_cleaning,Home & Garden Services,Home & Garden Services,Business and Professional Services,11097,Business and Professional Services > Home Improvement Service > Professional Cleaning Service,0.448
office_cleaning,Home & Garden Services,Home & Garden Services,Business and Professional Services,11124,Business and Professional Services > Office,0.950
security_systems,Home & Garden Services,Home & Garden Services,Business and Professional Services,11162,Business and Professional Services > Security and Safety,0.551
fence_and_gate_sales_service,Home & Garden Services,Home & Garden Services,Business and Professional Services,11156,Business and Professional Services > Rental Service,0.398
window_washing,Home & Garden Services,Home & Garden Services,Business and Professional Services,11016,Business and Professional Services > Automotive Service > Towing Service,0.171
janitorial_services,Home & Garden Services,Home & Garden Services,Business and Professional Services,11000,Business and Professional Services,0.426
home_cleaning,Home & Garden Services,Home & Garden Services,Business and Professional Services,11089,Business and Professional Services > Home Improvement Service > Home Service,0.524
occupational_safety,Home & Garden Services,Home & Garden Services,Business and Professional Services,11162,Business and Professional Services > Security and Safety,0.532
pest_control_service,Home & Garden Services,Home & Garden Services,Business and Professional Services,11095,Business and Professional Services > Home Improvement Service > Pest Control Service,1.000
metal_detector_services,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11000,Business and Professional Services,0.368
jewelry_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11120,Business and Professional Services > Manufacturer,0.950
mining,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11194,"Business and Professional Services > Writing, Copywriting and Technical Writing Service",0.209
printing_equipment_and_supply,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11189,"Business and Professional Services > Print, TV, Radio and Outdoor Advertising Service",0.807
b2b_storage_and_warehouses,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11174,Business and Professional Services > Warehouse,0.950
shoe_factory,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11040,Business and Professional Services > Factory,0.950
plastic_company,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11123,Business and Professional Services > Mobile Company,0.548
chemical_plant,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11142,Business and Professional Services > Power Plant,0.524
oil_and_gas_exploration_and_development,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11013,Business and Professional Services > Automotive Service > Oil Change Service,0.318
book_magazine_distribution,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11058,Business and Professional Services > Food and Beverage Service > Food Distribution Center,0.440
b2b_textiles,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11117,Business and Professional Services > Lottery Retailer,0.171
metals,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11122,Business and Professional Services > Metals Supplier,0.950
printing_services,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11189,"Business and Professional Services > Print, TV, Radio and Outdoor Advertising Service",0.807
b2b_rubber_and_plastics,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11159,Business and Professional Services > Rubber Supplier,0.411
coal_and_coke,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11013,Business and Professional Services > Automotive Service > Oil Change Service,0.206
iron_work,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11098,Business and Professional Services > Home Improvement Service > Roofer,0.213
mattress_manufacturing,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11120,Business and Professional Services > Manufacturer,0.235
scrap_metals,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11122,Business and Professional Services > Metals Supplier,0.478
business_manufacturing_and_supply,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11021,Business and Professional Services > Business Center,0.400
environmental_renewable_natural_resource,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11155,Business and Professional Services > Renewable Energy Service,0.350
industrial_spares_and_products_wholesaler,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11073,Business and Professional Services > Health and Beauty Service > Spa,0.950
aircraft_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11120,Business and Professional Services > Manufacturer,0.950
lighting_fixture_manufacturers,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11120,Business and Professional Services > Manufacturer,0.950
glass_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11120,Business and Professional Services > Manufacturer,0.950
oil_and_gas_field_equipment_and_services,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11037,Business and Professional Services > Equipment Rental Service,0.442
saw_mill,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11112,Business and Professional Services > Legal Service > Law Office,0.178
appliance_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11120,Business and Professional Services > Manufacturer,0.950
manufacturers_agents_and_representatives,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11120,Business and Professional Services > Manufacturer,0.950
leather_products_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11120,Business and Professional Services > Manufacturer,0.950
industrial_company,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11106,Business and Professional Services > Industrial Estate,0.574
mills,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11071,Business and Professional Services > Health and Beauty Service > Nail Salon,0.160
textile_mill,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11117,Business and Professional Services > Lottery Retailer,0.171
oil_and_gas,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11013,Business and Professional Services > Automotive Service > Oil Change Service,0.421
environmental_abatement_services,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11000,Business and Professional Services,0.394
industrial_equipment,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11105,Business and Professional Services > Industrial Equipment Supplier,0.950
plastic_fabrication_company,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11168,Business and Professional Services > Technology Business > Software Company,0.386
iron_and_steel_industry,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11146,Business and Professional Services > Real Estate Service > Building and Land Surveyor,0.212
furniture_assembly,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11162,Business and Professional Services > Security and Safety,0.195
sheet_metal,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11011,Business and Professional Services > Automotive Service > Car Wash and Detail,0.187
flour_mill,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11117,Business and Professional Services > Lottery Retailer,0.185
distribution_services,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11031,Business and Professional Services > Distribution Center,0.600
steel_fabricators,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11109,Business and Professional Services > Laboratory,0.237
environmental_and_ecological_services_for_businesses,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11021,Business and Professional Services > Business Center,0.377
metal_supplier,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11122,Business and Professional Services > Metals Supplier,0.686
fingerprinting_service,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11189,"Business and Professional Services > Print, TV, Radio and Outdoor Advertising Service",0.807
environmental_conservation_organization,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11086,Business and Professional Services > Home Improvement Service > General Contractor,0.196
cosmetic_products_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11120,Business and Professional Services > Manufacturer,0.950
metal_plating_service,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11171,Business and Professional Services > Translation Service,0.500
screen_printing_t_shirt_printing,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11189,"Business and Professional Services > Print, TV, Radio and Outdoor Advertising Service",0.807
environmental_testing,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11035,Business and Professional Services > Entertainment Agency,0.215
paper_mill,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11132,Business and Professional Services > Paper Supplier,0.533
wallpaper_installers,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11132,Business and Professional Services > Paper Supplier,0.212
jewelry_and_watches_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11120,Business and Professional Services > Manufacturer,0.950
furniture_manufacturers,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11120,Business and Professional Services > Manufacturer,0.950
3d_printing_service,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11189,"Business and Professional Services > Print, TV, Radio and Outdoor Advertising Service",0.807
commercial_industrial,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11106,Business and Professional Services > Industrial Estate,0.511
plastic_manufacturer,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11120,Business and Professional Services > Manufacturer,0.950
warehouses,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11174,Business and Professional Services > Warehouse,0.950
environmental_conservation_and_ecological_organizations,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11194,"Business and Professional Services > Writing, Copywriting and Technical Writing Service",0.200
cotton_mill,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11028,Business and Professional Services > Construction,0.209
metal_materials_and_experts,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11150,Business and Professional Services > Real Estate Service > Real Estate Appraiser,0.200
b2b_oil_and_gas_extraction_and_services,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11000,Business and Professional Services,0.350
metal_fabricator,Manufacturing & Industrial,Manufacturing & Industrial,Business and Professional Services,11109,Business and Professional Services > Laboratory,0.246
social_media_company,Media & Communications,Media & Communications,Business and Professional Services,11123,Business and Professional Services > Mobile Company,0.482
media_news_company,Media & Communications,Media & Communications,Business and Professional Services,11123,Business and Professional Services > Mobile Company,0.450
radio_station,Media & Communications,Media & Communications,Business and Professional Services,11144,Business and Professional Services > Radio Station,1.000
print_media,Media & Communications,Media & Communications,Business and Professional Services,11189,"Business and Professional Services > Print, TV, Radio and Outdoor Advertising Service",0.807
media_news_website,Media & Communications,Media & Communications,Business and Professional Services,11121,Business and Professional Services > Media Agency,0.387
television_station,Media & Communications,Media & Communications,Business and Professional Services,11173,Business and Professional Services > TV Station,0.586
mass_media,Media & Communications,Media & Communications,Business and Professional Services,11121,Business and Professional Services > Media Agency,0.482
media_critic,Media & Communications,Media & Communications,Business and Professional Services,11121,Business and Professional Services > Media Agency,0.533
business_to_business_services,Other Services,Other Services,Business and Professional Services,11182,Business and Professional Services > Business Service,0.950
shades_and_blinds,Other Services,Other Services,Business and Professional Services,11082,Business and Professional Services > Home Improvement Service > Doors and Windows Contractor,0.196
tabletop_games,Other Services,Other Services,Business and Professional Services,11075,Business and Professional Services > Health and Beauty Service > Tattoo Parlor,0.178
farm_equipment_and_supply,Other Services,Other Services,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier,0.452
books_mags_music_and_video,Other Services,Other Services,Business and Professional Services,11100,Business and Professional Services > Home Improvement Service > Swimming Pool Maintenance and Service,0.190
gemstone_and_mineral,Other Services,Other Services,Business and Professional Services,11169,Business and Professional Services > Technology Business > Website Designer,0.222
infectious_disease_specialist,Other Services,Other Services,Business and Professional Services,11154,Business and Professional Services > Refrigeration and Ice Supplier,0.190
oil_refiners,Other Services,Other Services,Business and Professional Services,11013,Business and Professional Services > Automotive Service > Oil Change Service,0.387
information_technology_company,Other Services,Other Services,Business and Professional Services,11168,Business and Professional Services > Technology Business > Software Company,0.398
shoe_shining_service,Other Services,Other Services,Business and Professional Services,11164,Business and Professional Services > Shoe Repair Service,0.687
office_equipment,Other Services,Other Services,Business and Professional Services,11124,Business and Professional Services > Office,0.950
packing_services,Other Services,Other Services,Business and Professional Services,11000,Business and Professional Services,0.376
ticket_sales,Other Services,Other Services,Business and Professional Services,11039,Business and Professional Services > Event Space,0.209
bus_rentals,Other Services,Other Services,Business and Professional Services,11156,Business and Professional Services > Rental Service,0.224
iv_hydration,Other Services,Healthcare & Medical,Health and Medicine,15006,Health and Medicine > Chiropractor,0.167
racing_experience,Other Services,Other Services,Business and Professional Services,11172,Business and Professional Services > Tutoring Service,0.242
land_surveying,Other Services,Other Services,Business and Professional Services,11146,Business and Professional Services > Real Estate Service > Building and Land Surveyor,0.420
ear_nose_and_throat,Other Services,Healthcare & Medical,Health and Medicine,15032,"Health and Medicine > Physician > Ear, Nose and Throat Doctor",0.950
water_purification_services,Other Services,Other Services,Business and Professional Services,11176,Business and Professional Services > Water Treatment Service,0.488
scientific_laboratories,Other Services,Healthcare & Medical,Health and Medicine,15036,Health and Medicine > Physician > Geriatric Doctor,0.185
teeth_whitening,Other Services,Healthcare & Medical,Health and Medicine,15019,Health and Medicine > Mental Health Service > Mental Health Clinic,0.183
marina,Other Services,Other Services,Business and Professional Services,11189,"Business and Professional Services > Print, TV, Radio and Outdoor Advertising Service",0.185
door_sales_service,Other Services,Other Services,Business and Professional Services,11006,Business and Professional Services > Audiovisual Service,0.481
cannabis_collective,Other Services,Other Services,Business and Professional Services,11049,Business and Professional Services > Financial Service > Collections Service,0.211
road_structures_and_services,Other Services,Other Services,Business and Professional Services,11000,Business and Professional Services,0.406
canal,Other Services,Other Services,Business and Professional Services,11045,Business and Professional Services > Financial Service > Banking and Finance > Bank,0.178
travel_company,Other Services,Other Services,Business and Professional Services,11168,Business and Professional Services > Technology Business > Software Company,0.593
firewood,Other Services,Other Services,Business and Professional Services,11183,Business and Professional Services > Convention Center > Conference Room,0.174
jazz_and_blues,Other Services,Arts & Entertainment,Arts and Entertainment,10040,Arts and Entertainment > Performing Arts Venue > Music Venue > Jazz and Blues Venue,0.950
antenna_service,Other Services,Other Services,Business and Professional Services,11156,Business and Professional Services > Rental Service,0.603
rest_areas,Other Services,Other Services,Business and Professional Services,11015,Business and Professional Services > Automotive Service > Tire Repair Shop,0.215
laser_cutting_service_provider,Other Services,Other Services,Business and Professional Services,11049,Business and Professional Services > Financial Service > Collections Service,0.379
elevator_service,Other Services,Other Services,Business and Professional Services,11038,Business and Professional Services > Event Service,0.603
orthodontist,Other Services,Healthcare & Medical,Health and Medicine,15007,Health and Medicine > Dentist,0.253
business_equipment_and_supply,Other Services,Business-to-Business,Business and Professional Services,11105,Business and Professional Services > Industrial Equipment Supplier,0.462
pedicab_service,Other Services,Other Services,Business and Professional Services,11133,Business and Professional Services > Pet Service,0.608
personal_care_service,Other Services,Other Services,Business and Professional Services,11025,Business and Professional Services > Child Care Service,0.687
paint_your_own_pottery,Other Services,Other Services,Business and Professional Services,11094,Business and Professional Services > Home Improvement Service > Painter,0.193
exhibition_and_trade_center,Other Services,Other Services,Business and Professional Services,11031,Business and Professional Services > Distribution Center,0.426
safety_equipment,Other Services,Other Services,Business and Professional Services,11162,Business and Professional Services > Security and Safety,0.437
writing_service,Other Services,Other Services,Business and Professional Services,11194,"Business and Professional Services > Writing, Copywriting and Technical Writing Service",0.950
prosthodontist,Other Services,Healthcare & Medical,Health and Medicine,15044,Health and Medicine > Physician > Pathologist,0.256
security_services,Other Services,Other Services,Business and Professional Services,11162,Business and Professional Services > Security and Safety,0.544
laundromat,Other Services,Other Services,Business and Professional Services,11068,Business and Professional Services > Laundromat,1.000
country_club,Other Services,Other Services,Business and Professional Services,11139,Business and Professional Services > Photography Service > Photography Lab,0.207
backpacking_area,Other Services,Other Services,Business and Professional Services,11128,Business and Professional Services > Office > Coworking Space,0.206
music_critic,Other Services,Arts & Entertainment,Arts and Entertainment,10039,Arts and Entertainment > Performing Arts Venue > Music Venue,0.509
feng_shui,Other Services,Home & Garden Services,Business and Professional Services,11152,Business and Professional Services > Recording Studio,0.224
holiday_decor,Other Services,Home & Garden Services,Business and Professional Services,11179,Business and Professional Services > Wholesaler,0.209
endodontist,Other Services,Healthcare & Medical,Health and Medicine,15007,Health and Medicine > Dentist,0.267
bulk_billing,Other Services,Other Services,Business and Professional Services,11130,Business and Professional Services > Office > Office Building,0.207
sign_making,Other Services,Other Services,Business and Professional Services,11030,Business and Professional Services > Design Studio,0.200
luggage_storage,Other Services,Other Services,Business and Professional Services,11165,Business and Professional Services > Storage Facility,0.481
vitamins_and_supplements,Other Services,Other Services,Business and Professional Services,11154,Business and Professional Services > Refrigeration and Ice Supplier,0.222
team_building_activity,Other Services,Other Services,Business and Professional Services,11130,Business and Professional Services > Office > Office Building,0.416
street_vendor,Other Services,Other Services,Business and Professional Services,11101,Business and Professional Services > Home Improvement Service > Tree Service,0.224
general_litigation,Other Services,Other Services,Business and Professional Services,11086,Business and Professional Services > Home Improvement Service > General Contractor,0.522
foot_care,Other Services,Healthcare & Medical,Health and Medicine,15053,Health and Medicine > Urgent Care Center,0.378
logging_equipment_and_supplies,Other Services,Other Services,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier,0.471
freight_and_cargo_service,Other Services,Other Services,Business and Professional Services,11163,"Business and Professional Services > Shipping, Freight, and Material Transportation Service",0.807
meat_wholesaler,Other Services,Other Services,Business and Professional Services,11179,Business and Professional Services > Wholesaler,0.950
pool_hall,Other Services,Other Services,Business and Professional Services,11177,Business and Professional Services > Wedding Hall,0.490
windows_installation,Other Services,Construction & Contractors,Business and Professional Services,11082,Business and Professional Services > Home Improvement Service > Doors and Windows Contractor,0.367
horseback_riding_service,Other Services,Other Services,Business and Professional Services,11048,Business and Professional Services > Financial Service > Check Cashing Service,0.484
fidelity_and_surety_bonds,Other Services,Financial Services,Business and Professional Services,11162,Business and Professional Services > Security and Safety,0.236
genealogists,Other Services,Other Services,Business and Professional Services,11086,Business and Professional Services > Home Improvement Service > General Contractor,0.213
emergency_roadside_service,Other Services,Other Services,Business and Professional Services,11027,Business and Professional Services > Computer Repair Service,0.445
payroll_services,Other Services,Financial Services,Business and Professional Services,11000,Business and Professional Services,0.408
plaza,Other Services,Other Services,Business and Professional Services,11073,Business and Professional Services > Health and Beauty Service > Spa,0.200
business_financing,Other Services,Financial Services,Business and Professional Services,11182,Business and Professional Services > Business Service,0.559
supernatural_reading,Other Services,Other Services,Business and Professional Services,11037,Business and Professional Services > Equipment Rental Service,0.200
solar_installation,Other Services,Construction & Contractors,Business and Professional Services,11158,Business and Professional Services > Research Station,0.259
glass_and_mirror_sales_service,Other Services,Other Services,Business and Professional Services,11002,Business and Professional Services > Agriculture and Forestry Service,0.395
inventory_control_service,Other Services,Other Services,Business and Professional Services,11095,Business and Professional Services > Home Improvement Service > Pest Control Service,0.720
ev_charging_station,Other Services,Other Services,Business and Professional Services,11158,Business and Professional Services > Research Station,0.551
footwear_wholesaler,Other Services,Other Services,Business and Professional Services,11179,Business and Professional Services > Wholesaler,0.950
translating_and_interpreting_services,Other Services,Other Services,Business and Professional Services,11000,Business and Professional Services,0.448
family_practice,Other Services,Healthcare & Medical,Health and Medicine,15033,Health and Medicine > Physician > Family Medicine Doctor,0.395
wine_tasting_room,Other Services,Other Services,Business and Professional Services,11129,Business and Professional Services > Office > Meeting Room,0.476
private_jet_charters,Other Services,Other Services,Business and Professional Services,11125,Business and Professional Services > Office > Corporate Cafeteria,0.205
auction_house,Other Services,Other Services,Business and Professional Services,11063,Business and Professional Services > Health and Beauty Service > Bath House,0.578
mobility_equipment_services,Other Services,Healthcare & Medical,Health and Medicine,15008,Health and Medicine > Emergency Service,0.218
active_life,Other Services,Healthcare & Medical,Health and Medicine,15001,Health and Medicine > Acupuncture Clinic,0.193
misting_system_services,Other Services,Other Services,Business and Professional Services,11000,Business and Professional Services,0.411
hearing_aids,Other Services,Healthcare & Medical,Health and Medicine,15002,Health and Medicine > AIDS Resource,0.428
nudist_clubs,Other Services,Other Services,Business and Professional Services,11007,Business and Professional Services > Auditorium,0.182
scooter_rental,Other Services,Other Services,Business and Professional Services,11156,Business and Professional Services > Rental Service,0.471
bags_luggage_company,Other Services,Other Services,Business and Professional Services,11123,Business and Professional Services > Mobile Company,0.459
challenge_courses_center,Other Services,Other Services,Business and Professional Services,11029,Business and Professional Services > Convention Center,0.415
package_locker,Other Services,Other Services,Business and Professional Services,11070,Business and Professional Services > Health and Beauty Service > Massage Clinic,0.200
bike_sharing,Other Services,Other Services,Business and Professional Services,11182,Business and Professional Services > Business Service,0.200
ceiling_service,Other Services,Other Services,Business and Professional Services,11178,Business and Professional Services > Welding Service,0.647
halfway_house,Other Services,Other Services,Business and Professional Services,11063,Business and Professional Services > Health and Beauty Service > Bath House,0.543
sandblasting_service,Other Services,Other Services,Business and Professional Services,11171,Business and Professional Services > Translation Service,0.608
arts_and_crafts,Other Services,Other Services,Business and Professional Services,11162,Business and Professional Services > Security and Safety,0.235
embroidery_and_crochet,Other Services,Other Services,Business and Professional Services,11162,Business and Professional Services > Security and Safety,0.215
betting_center,Other Services,Other Services,Business and Professional Services,11029,Business and Professional Services > Convention Center,0.584
olive_oil,Other Services,Other Services,Business and Professional Services,11013,Business and Professional Services > Automotive Service > Oil Change Service,0.289
quay,Other Services,Other Services,Business and Professional Services,11114,Business and Professional Services > Legal Service > Notary,0.160
plasterer,Other Services,Other Services,Business and Professional Services,11057,Business and Professional Services > Food and Beverage Service > Caterer,0.300
wholesale_grocer,Other Services,Other Services,Business and Professional Services,11179,Business and Professional Services > Wholesaler,0.308
sleep_specialist,Other Services,Healthcare & Medical,Health and Medicine,15047,Health and Medicine > Physician > Psychiatrist,0.200
bookmakers,Other Services,Other Services,Business and Professional Services,11062,Business and Professional Services > Health and Beauty Service > Barbershop,0.200
business_to_business,Other Services,Business-to-Business,Business and Professional Services,11182,Business and Professional Services > Business Service,0.567
fishmonger,Other Services,Other Services,Business and Professional Services,11093,Business and Professional Services > Home Improvement Service > Mover,0.213
artificial_turf,Other Services,Other Services,Business and Professional Services,11003,Business and Professional Services > Architecture Firm,0.200
jet_skis_rental,Other Services,Other Services,Business and Professional Services,11037,Business and Professional Services > Equipment Rental Service,0.385
countertop_installation,Other Services,Construction & Contractors,Business and Professional Services,11173,Business and Professional Services > TV Station,0.218
musician,Other Services,Arts & Entertainment,Arts and Entertainment,10039,Arts and Entertainment > Performing Arts Venue > Music Venue,0.253
immigration_assistance_services,Other Services,Other Services,Business and Professional Services,11113,Business and Professional Services > Legal Service > Immigration Attorney,0.451
gold_buyer,Other Services,Other Services,Business and Professional Services,11096,Business and Professional Services > Home Improvement Service > Plumber,0.188
motor_freight_trucking,Other Services,Other Services,Business and Professional Services,11163,"Business and Professional Services > Shipping, Freight, and Material Transportation Service",0.807
promotional_products_and_services,Other Services,Other Services,Business and Professional Services,11190,Business and Professional Services > Promotional Item Service,0.495
street_art,Other Services,Arts & Entertainment,Arts and Entertainment,10059,Arts and Entertainment > Public Art > Street Art,1.000
kitchen_and_bath,Other Services,Construction & Contractors,Business and Professional Services,11091,Business and Professional Services > Home Improvement Service > Kitchen Remodeler,0.518
display_home_center,Other Services,Other Services,Business and Professional Services,11031,Business and Professional Services > Distribution Center,0.432
quarries,Other Services,Other Services,Business and Professional Services,11174,Business and Professional Services > Warehouse,0.188
hearing_aid_provider,Other Services,Healthcare & Medical,Health and Medicine,15032,"Health and Medicine > Physician > Ear, Nose and Throat Doctor",0.209
skylight_installation,Other Services,Construction & Contractors,Business and Professional Services,11173,Business and Professional Services > TV Station,0.232
tower_communication_service,Other Services,Other Services,Business and Professional Services,11170,Business and Professional Services > Telecommunication Service,0.554
corporate_office,Other Services,Other Services,Business and Professional Services,11124,Business and Professional Services > Office,0.950
rv_storage_facility,Other Services,Other Services,Business and Professional Services,11165,Business and Professional Services > Storage Facility,0.950
smokehouse,Other Services,Other Services,Business and Professional Services,11174,Business and Professional Services > Warehouse,0.253
archaeological_services,Other Services,Other Services,Business and Professional Services,11000,Business and Professional Services,0.411
golf_equipment,Other Services,Retail & Shopping,Retail,17122,Retail > Sporting Goods Retail > Golf Store,0.500
tea_wholesaler,Other Services,Other Services,Business and Professional Services,11179,Business and Professional Services > Wholesaler,0.950
courier_and_delivery_services,Other Services,Other Services,Business and Professional Services,11000,Business and Professional Services,0.441
ultrasound_imaging_center,Other Services,Healthcare & Medical,Health and Medicine,15053,Health and Medicine > Urgent Care Center,0.386
cemeteries,Other Services,Other Services,Business and Professional Services,11057,Business and Professional Services > Food and Beverage Service > Caterer,0.235
prosthetics,Other Services,Healthcare & Medical,Health and Medicine,15043,Health and Medicine > Physician > Orthopedic Surgeon,0.193
tui_na,Other Services,Other Services,Business and Professional Services,11028,Business and Professional Services > Construction,0.178
organ_and_tissue_donor_service,Other Services,Healthcare & Medical,Health and Medicine,15008,Health and Medicine > Emergency Service,0.365
bike_rentals,Other Services,Other Services,Business and Professional Services,11037,Business and Professional Services > Equipment Rental Service,0.222
shutters,Other Services,Other Services,Business and Professional Services,11143,Business and Professional Services > Publisher,0.188
radio_and_television_commercials,Other Services,Other Services,Business and Professional Services,11144,Business and Professional Services > Radio Station,0.396
private_equity_firm,Other Services,Financial Services,Business and Professional Services,11003,Business and Professional Services > Architecture Firm,0.422
holding_companies,Other Services,Other Services,Business and Professional Services,11123,Business and Professional Services > Mobile Company,0.232
logging_services,Other Services,Other Services,Business and Professional Services,11116,Business and Professional Services > Logging Service,0.950
hot_air_balloons_tour,Other Services,Other Services,Business and Professional Services,11087,"Business and Professional Services > Home Improvement Service > Heating, Ventilating and Air Conditioning Contractor",0.264
interlock_system,Other Services,Other Services,Business and Professional Services,11008,Business and Professional Services > Automation and Control System,0.413
tools_wholesaler,Other Services,Other Services,Business and Professional Services,11179,Business and Professional Services > Wholesaler,0.950
ambulance_and_ems_services,Other Services,Healthcare & Medical,Health and Medicine,15009,Health and Medicine > Emergency Service > Ambulance Service,0.516
cheerleading,Other Services,Other Services,Business and Professional Services,11130,Business and Professional Services > Office > Office Building,0.207
leather_goods,Other Services,Other Services,Business and Professional Services,11110,Business and Professional Services > Leather Supplier,0.548
