OM_Category_Label,OM_Simplified_Category,OM_Updated_Category,FSQ_Category_Primary
arcade,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
circus_school,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
karaoke_rental,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
military_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
botanical_garden,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
fair,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
drama_school,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
bingo_hall,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
modern_art_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
casino,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
grain_production,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
civilization_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
dinner_theater,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment
commercial_vehicle_dealer,Automotive,Automotive,Business and Professional Services
emissions_inspection,Automotive,Automotive,Business and Professional Services
b2b_forklift_dealers,Automotive,Business-to-Business,Business and Professional Services
foundation_repair,Automotive,Automotive,Business and Professional Services
coin_dealers,Automotive,Automotive,Business and Professional Services
shoe_repair,Automotive,Automotive,Business and Professional Services
hydraulic_repair_service,Automotive,Automotive,Business and Professional Services
trailer_dealer,Automotive,Automotive,Business and Professional Services
b2b_equipment_maintenance_and_repair,Automotive,Business-to-Business,Business and Professional Services
automotive_parts_and_accessories,Automotive,Automotive,Business and Professional Services
wheel_and_rim_repair,Automotive,Automotive,Business and Professional Services
auto_customization,Automotive,Automotive,Business and Professional Services
auto_glass_service,Automotive,Automotive,Business and Professional Services
forklift_dealer,Automotive,Automotive,Business and Professional Services
car_inspection,Automotive,Automotive,Business and Professional Services
media_restoration_service,Automotive,Automotive,Business and Professional Services
car_buyer,Automotive,Automotive,Business and Professional Services
b2b_truck_equipment_parts_and_accessories,Automotive,Business-to-Business,Business and Professional Services
boat_service_and_repair,Automotive,Automotive,Business and Professional Services
motorcycle_rentals,Automotive,Automotive,Business and Professional Services
car_dealer,Automotive,Automotive,Business and Professional Services
truck_rentals,Automotive,Automotive,Business and Professional Services
motorcycle_dealer,Automotive,Automotive,Business and Professional Services
recreation_vehicle_repair,Automotive,Automotive,Business and Professional Services
mobile_home_dealer,Automotive,Automotive,Business and Professional Services
car_wash,Automotive,Automotive,Business and Professional Services
brake_service_and_repair,Automotive,Automotive,Business and Professional Services
automation_services,Automotive,Automotive,Business and Professional Services
automotive_wheel_polishing_service,Automotive,Automotive,Business and Professional Services
exhaust_and_muffler_repair,Automotive,Automotive,Business and Professional Services
car_broker,Automotive,Automotive,Business and Professional Services
car_window_tinting,Automotive,Automotive,Business and Professional Services
department_of_motor_vehicles,Automotive,Automotive,Business and Professional Services
tire_dealer_and_repair,Automotive,Automotive,Business and Professional Services
towing_service,Automotive,Automotive,Business and Professional Services
jewelry_repair_service,Automotive,Automotive,Business and Professional Services
car_rental_agency,Automotive,Automotive,Business and Professional Services
inspection_services,Automotive,Automotive,Business and Professional Services
truck_dealer,Automotive,Automotive,Business and Professional Services
bike_repair_maintenance,Automotive,Automotive,Business and Professional Services
mobile_home_repair,Automotive,Automotive,Business and Professional Services
trucks_and_industrial_vehicles,Automotive,Automotive,Business and Professional Services
automotive_services_and_repair,Automotive,Automotive,Business and Professional Services
truck_repair,Automotive,Automotive,Business and Professional Services
clock_repair_service,Automotive,Automotive,Business and Professional Services
b2b_autos_and_vehicles,Automotive,Business-to-Business,Business and Professional Services
fire_and_water_damage_restoration,Automotive,Automotive,Business and Professional Services
auto_security,Automotive,Automotive,Business and Professional Services
motorcycle_gear,Automotive,Automotive,Business and Professional Services
car_stereo_installation,Automotive,Automotive,Business and Professional Services
farm_equipment_repair_service,Automotive,Automotive,Business and Professional Services
auto_detailing,Automotive,Automotive,Business and Professional Services
car_auction,Automotive,Automotive,Business and Professional Services
boat_dealer,Automotive,Automotive,Business and Professional Services
it_service_and_computer_repair,Automotive,Automotive,Business and Professional Services
truck_dealer_for_businesses,Automotive,Automotive,Business and Professional Services
automotive_repair,Automotive,Automotive,Business and Professional Services
home_automation,Automotive,Automotive,Business and Professional Services
hybrid_car_repair,Automotive,Automotive,Business and Professional Services
furniture_repair,Automotive,Automotive,Business and Professional Services
diamond_dealer,Automotive,Automotive,Business and Professional Services
automotive,Automotive,Automotive,Business and Professional Services
auto_loan_provider,Automotive,Automotive,Business and Professional Services
aircraft_repair,Automotive,Automotive,Business and Professional Services
used_car_dealer,Automotive,Automotive,Business and Professional Services
retirement_home,Automotive,Automotive,Business and Professional Services
automotive_dealer,Automotive,Automotive,Business and Professional Services
water_heater_installation_repair,Automotive,Automotive,Business and Professional Services
motorsport_vehicle_repair,Automotive,Automotive,Business and Professional Services
art_restoration_service,Automotive,Automotive,Business and Professional Services
